kind,id,name,latin,ta2,ta2_la,ta2_en,ta2_path,tna,tna_la,tna_en,tna_path,wd,ta98,wd_en,wd_tr,wd_tr_aliases,trwiki,trwiki_redirects,relation,match,alt,note,decision
structures,corpus-callosum,Corpus callosum,Corpus callosum,5604,Corpus callosum,Corpus callosum,Fibrae commissurales telencephali < Substantia Alba Telencephali < Cerebrum,2190,Corpus callosum,Corpus callosum,Telencephalon < Pars Centralis < Systema Nervosum,Q223851,A14.1.09.241,corpus callosum,Corpus callosum,Korpus callosum; Korpus kallozum,Corpus callosum,Korpus callosum; Korpus kallosum; Korpus kallozum,exact,ta2:latin tna:latin wd:latin,,,
structures,cortex-calcarine,Calcarine (primary visual) cortex,Area striata,,,,,2053,Area striata,Striate area,Lobus Occipitalis < Telencephalon < Pars Centralis,,,,,,,,exact,tna:latin,"tna:2247 ""Cortex visualis primarius"" (latin-syn)",,
structures,cortex-central-operculum,Central opercular cortex,,,,,,,,,,,,,,,,,related,,"related ta2:5446 ""Operculum frontale"" | related ta2:5452 ""Pars opercularis gyri frontalis inferioris"" | related ta2:5468 ""Operculum parietale"" | related ta2:5490 ""Operculum temporale""",no single TA concept; related terms in alt,
structures,cortex-frontal-medial,Frontal medial cortex,,,,,,2095,Cortex prefrontalis medialis,Medial prefrontal cortex,Cortex prefrontalis < Lobus Frontalis < Telencephalon,,,,,,,,synonym,tna:syn,,,
structures,cortex-frontal-operculum,Frontal operculum cortex,,5446,Operculum frontale,Frontal operculum,Lobus Frontalis < Cerebrum < Systema Nervosum,2012,Operculum frontale,Frontal operculum,Lobus Frontalis < Telencephalon < Pars Centralis,,,,,,,,synonym,ta2:syn tna:syn,,,
structures,cortex-intracalcarine,Intracalcarine cortex,,,,,,2053,Area striata,Striate area,Lobus Occipitalis < Telencephalon < Pars Centralis,,,,,,,,synonym,tna:syn,"tna:2247 ""Cortex visualis primarius"" (syn)",ambiguous,
structures,cortex-lateral-occipital-inferior,"Lateral occipital cortex, inferior division",,,,,,,,,,,,,,,,,related,,"related ta2:5421 ""Polus occipitalis"" | related ta2:5437 ""Sulcus parietooccipitalis"" | related ta2:5438 ""Incisura preoccipitalis"" | related ta2:5480 ""Lobus occipitalis""",no single TA concept; related terms in alt,
structures,cortex-lateral-occipital-superior,"Lateral occipital cortex, superior division",,,,,,,,,,,,,,,,,related,,"related ta2:5421 ""Polus occipitalis"" | related ta2:5437 ""Sulcus parietooccipitalis"" | related ta2:5438 ""Incisura preoccipitalis"" | related ta2:5480 ""Lobus occipitalis""",no single TA concept; related terms in alt,
structures,cortex-orbitofrontal,Frontal orbital cortex,,,,,,,,,,,,,,,,,related,,"related ta2:5448 ""Pars orbitalis gyri frontalis inferioris"" | related ta2:5419 ""Polus frontalis"" | related ta2:5445 ""Lobus frontalis"" | related ta2:5446 ""Operculum frontale""",no single TA concept; related terms in alt,
structures,cortex-parietal-operculum,Parietal operculum cortex,,,,,,,,,,,,,,,,,related,,"related ta2:5468 ""Operculum parietale"" | related tna:2043 ""Operculum parietale"" | related ta2:5437 ""Sulcus parietooccipitalis"" | related ta2:5446 ""Operculum frontale""",no single TA concept; related terms in alt,
structures,cortex-prefrontal,Prefrontal cortex,Cortex praefrontalis,,,,,2020,Cortex prefrontalis,Prefrontal cortex,Lobus Frontalis < Telencephalon < Pars Centralis,,,,,,,,exact,tna:latin,,,
structures,cortex-premotor-sma,Premotor cortex and supplementary motor area,Area premotoria; area motoria supplementaria,,,,,2023,Cortex premotorius,Premotor cortex,Lobus Frontalis < Telencephalon < Pars Centralis,,,,,,,,narrower,tna:en,,our Latin differs from TNA,
structures,cortex-subcallosal,Subcallosal cortex,,5517,Gyrus paraterminalis,Paraterminal gyrus,Lobus Limbicus < Cerebrum < Systema Nervosum,2099,Gyrus paraterminalis,Paraterminal gyrus,Area subcallosa < Lobus Frontalis < Telencephalon,Q7136120,A14.1.09.212,paraterminal gyrus,,,,,synonym,ta2:syn tna:syn wd:syn,,,
structures,cortex-supplementary-motor,Supplementary motor cortex (juxtapositional lobule),,,,,,,,,,,,,,,,,none,,,no single TA concept,
structures,cortex-supracalcarine,Supracalcarine cortex,,,,,,,,,,,,,,,,,related,,"related ta2:5486 ""Sulcus calcarinus"" | related ta2:5660 ""Calcar avis"" | related tna:584 ""Arteria calcarina"" | related tna:605 ""Ramus calcarinus""",no single TA concept; related terms in alt,
structures,cortex-temporal-fusiform-anterior,"Temporal fusiform cortex, anterior division",,,,,,,,,,,,,,,,,related,,"related ta2:5420 ""Polus temporalis"" | related ta2:5488 ""Lobus temporalis"" | related ta2:5489 ""Gyrus temporalis superior"" | related ta2:5490 ""Operculum temporale""",no single TA concept; related terms in alt,
structures,cortex-temporal-fusiform-posterior,"Temporal fusiform cortex, posterior division",,,,,,,,,,,,,,,,,related,,"related ta2:5495 ""Gyrus temporalis medius"" | related tna:495 ""Arteria temporalis media"" | related tna:587 ""Arteria temporalis inferior media"" | related tna:599 ""Rami temporales medii""",no single TA concept; related terms in alt,
structures,cortex-temporo-occipital-fusiform,Temporal occipital fusiform cortex,,,,,,,,,,,,,,,,,related,,"related ta2:5420 ""Polus temporalis"" | related ta2:5421 ""Polus occipitalis"" | related ta2:5437 ""Sulcus parietooccipitalis"" | related ta2:5438 ""Incisura preoccipitalis""",no single TA concept; related terms in alt,
structures,cuneus,Cuneus,,5485,Cuneus,Cuneus,Lobus Occipitalis < Cerebrum < Systema Nervosum,2138,Cuneus,Cuneus,Lobus Occipitalis < Telencephalon < Pars Centralis,Q961620,A14.1.09.224,cuneus,,,,,exact,ta2:en tna:en wd:en,,,
structures,dentate-gyrus,Dentate gyrus,,5521,Gyrus dentatus,Dentate gyrus,Hippocampus < Lobus Limbicus < Cerebrum,2184,Gyrus dentatus,Dentate gyrus,Formatio Hippocampi < Telencephalon < Pars Centralis,Q545787,"A14.1.09.237, A14.1.09.339",dentate gyrus,,,,,exact,ta2:en tna:en wd:en,,,
structures,dentate-nucleus,Dentate nucleus,Nucleus dentatus,5836,Nucleus dentatus,Dentate nucleus,Nuclei cerebelli < Substantia Grisea Cerebelli < Cerebellum,1664,Nucleus dentatus,Dentate nucleus,Nuclei Cerebelli < Cerebellum < Pars Centralis,Q2004185,A14.1.07.407,dentate nucleus,,,,,exact,ta2:latin tna:latin wd:en,,,
structures,dorsal-motor-nucleus-vagus,Dorsal motor nucleus of the vagus,Nucleus dorsalis nervi vagi,6013,Nucleus posterior nervi vagi,Posterior nucleus of vagus nerve,Substantia Grisea Medullae Oblongatae < Truncus Encephali < Systema Nervosum,1054,Nucleus posterior nervi vagi,Posterior nucleus of vagus nerve,Nuclei Visceromotorii < Myelencephalon < Pars Centralis,Q5298797,A14.1.04.229,dorsal nucleus of vagus nerve,,,,,synonym,ta2:latin-syn tna:latin-syn wd:latin-syn,,our Latin differs from TA2,
structures,dorsal-root-ganglion,Dorsal root ganglion,Ganglion sensorium nervi spinalis,6167,Ganglion spinale,Spinal ganglion,Ganglia sensoria < Ganglia < Systema Nervosum,2710,Ganglion sensorium nervi spinalis,Spinal ganglion,Ganglia Craniospinalia Sensoria < Nomina Generalia < Pars Peripherica,Q1395415,A14.2.00.006,spinal ganglia,,,,,synonym,ta2:latin-syn tna:latin wd:latin,"tna:2960 ""Ganglion spinale"" (syn)",TA2/TNA Latin differ; our Latin differs from TA2; TNA 2710 is a subdivision of TA2 6167,
structures,dura-mater,Dura mater,Dura mater,5370,Dura,Dura,Systema Nervosum < Systemata Integrantia,234,Dura mater,Dura mater,Pars Centralis < Systema Nervosum,Q1394389,"A14.1.01.101, A14.1.01.002",dura mater,Dura mater,Duramater,Dura mater,Dura Mater; Duramater,synonym,ta2:latin-syn tna:latin wd:latin,,TA2/TNA Latin differ; our Latin differs from TA2; TNA 234 is a subdivision of TA2 5370,
structures,facial-motor-nucleus,Facial motor nucleus,Nucleus nervi facialis,5939,Nucleus nervi facialis,Motor nucleus of facial nerve,Substantia grisea tegmenti pontis < Tegmentum Pontis < Truncus Encephali,1251,Nucleus nervi facialis,Motor nucleus of facial nerve,Nuclei Branchiomotorii < Pons < Pars Centralis,Q2004197,A14.1.05.412,facial motor nucleus,,,,,exact,ta2:latin tna:latin wd:latin,,,
structures,falx-cerebri,Falx cerebri,Falx cerebri,5374,Falx cerebri,Falx cerebri,Dura Cranialis < Dura < Systema Nervosum,241,Falx cerebri,Falx cerebri,Processus durae matris cranialis < Dura Mater Cranialis < Dura Mater,Q1395055,A14.1.01.103,falx cerebri,,,,,exact,ta2:latin tna:latin wd:latin,,,
structures,fastigial-nucleus,Fastigial nucleus,Nucleus fastigii,5840,Nucleus fastigii,Fastigial nucleus,Nuclei cerebelli < Substantia Grisea Cerebelli < Cerebellum,1671,Nucleus fastigii,Fastigial nucleus,Nuclei Cerebelli < Cerebellum < Pars Centralis,Q2004182,A14.1.07.411,fastigial nucleus,,,,,exact,ta2:latin tna:latin wd:en,,,
structures,filum-terminale,Filum terminale,Filum terminale,5384,Filum terminale externum,Filum terminale externum,Dura Spinalis < Dura < Systema Nervosum,342,Filum terminale,Filum terminale,Pars Centralis < Systema Nervosum,Q1362202,A14.1.01.401,filum terminale,,,,,synonym,ta2:latin tna:latin wd:latin,"ta2:5414 ""Filum terminale internum"" (syn)",TA2/TNA Latin differ; our Latin differs from TA2; TA2 5384 is a subdivision of TNA 342,
structures,flocculonodular-lobe,Flocculonodular lobe,Lobus flocculonodularis,5799,Lobus flocculonodularis,Flocculonodular lobe,Cerebellum < Systema Nervosum < Systemata Integrantia,1615,Lobus flocculonodularis,Flocculonodular lobe,Cerebellum < Pars Centralis < Systema Nervosum,Q5459948,A14.1.07.301,flocculonodular lobe,,,,,exact,ta2:latin tna:latin wd:latin,"ta2:5803 ""Vestibulocerebellum"" (syn) | tna:1650 ""Vestibulocerebellum"" (syn)",,
structures,fornix,Fornix,Fornix,5633,Fornix,Fornix,Fibrae projectionis telencephali < Substantia Alba Telencephali < Cerebrum,1965,Fornix,Fornix,Tractus Afferentes < Diencephalon < Pars Centralis,Q1230047,"A14.1.08.949, A14.1.09.255",fornix of the brain,,,,,exact,ta2:latin tna:latin wd:latin,,,
structures,frontal-eye-field,Frontal eye field,,,,,,,,,,,,,,,,,related,,"related ta2:5419 ""Polus frontalis"" | related ta2:5445 ""Lobus frontalis"" | related ta2:5446 ""Operculum frontale"" | related ta2:5447 ""Gyrus frontalis inferior""",no single TA concept; related terms in alt,
structures,frontal-pole,Frontal pole,,5419,Polus frontalis,Frontal pole,Hemisphaerium cerebri < Cerebrum < Systema Nervosum,2011,Polus frontalis,Frontal pole,Lobus Frontalis < Telencephalon < Pars Centralis,Q11397859,A14.1.09.111,frontal pole,,,,,exact,ta2:en tna:en wd:en,"ta2:5420 ""Polus temporalis"" (en) | ta2:5421 ""Polus occipitalis"" (en)",ambiguous,
structures,ganglion-ciliary,Ciliary ganglion,Ganglion ciliare,6663,Ganglion ciliare,Ciliary ganglion,Pars Cranialis Divisionis Autonomicae < Pars Craniosacralis Divisionis Autonomicae < Systema Nervosum,3481,Ganglion ciliare,Ciliary ganglion,Pars Cranialis < Pars Craniosacralis < Pars Peripherica,Q1493507,A14.3.02.003,ciliary ganglion,,,,,exact,ta2:latin tna:latin wd:latin,,,
structures,ganglion-geniculate,Geniculate ganglion,Ganglion geniculi,6287,Ganglion geniculi,Genigulate ganglion,Radix sensoria nervi facialis < Nervus Facialis < Plexus Nervosi,2856,Ganglion geniculi,Geniculate ganglion,Nervus Facialis < Nomina Generalia < Pars Peripherica,Q530934,A14.2.01.116,greater petrosal nerve,,,,,exact,ta2:latin tna:latin wd:latin,,,
structures,ganglion-otic,Otic ganglion,Ganglion oticum,6671,Ganglion oticum,Otic ganglion,Pars Cranialis Divisionis Autonomicae < Pars Craniosacralis Divisionis Autonomicae < Systema Nervosum,3499,Ganglion oticum,Otic ganglion,Pars Cranialis < Pars Craniosacralis < Pars Peripherica,Q1493508,A14.3.02.014,otic ganglion,,,,,exact,ta2:latin tna:latin wd:latin,,,
structures,ganglion-pterygopalatine,Pterygopalatine ganglion,Ganglion pterygopalatinum,6665,Ganglion pterygopalatinum,Pterygopalatine ganglion,Pars Cranialis Divisionis Autonomicae < Pars Craniosacralis Divisionis Autonomicae < Systema Nervosum,3483,Ganglion pterygopalatinum,Pterygopalatine ganglion,Pars Cranialis < Pars Craniosacralis < Pars Peripherica,Q1493509,A14.3.02.006,pterygopalatine ganglion,,,,,exact,ta2:latin tna:latin wd:latin,,,
structures,ganglion-submandibular,Submandibular ganglion,Ganglion submandibulare,6667,Ganglion submandibulare,Submandibular ganglion,Pars Cranialis Divisionis Autonomicae < Pars Craniosacralis Divisionis Autonomicae < Systema Nervosum,3495,Ganglion submandibulare,Submandibular ganglion,Pars Cranialis < Pars Craniosacralis < Pars Peripherica,Q1493504,A14.3.02.009,submandibular ganglion,,,,,exact,ta2:latin tna:latin wd:latin,,,
structures,ganglion-superior-cervical,Superior cervical ganglion,Ganglion cervicale superius,6608,Ganglion cervicale superius,Superior cervical ganglion,Ganglia cervicalia < Ganglia trunci sympathici < Ganglia paravertebralia,3428,Ganglion cervicale superius,Superior cervical ganglion,Ganglia cervicalia < Ganglia trunci sympathici < Ganglia paravertebralia,Q1493493,A14.3.01.009,superior cervical ganglion,,,,,exact,ta2:latin tna:latin wd:latin,,,
structures,ganglion-trigeminal,Trigeminal ganglion,Ganglion trigeminale (Gasseri),6194,Ganglion trigeminale,Trigeminal ganglion,Radix sensoria nervi trigemini < Nervus Trigeminus < Plexus Nervosi,2777,Ganglion trigeminale,Trigeminal ganglion,Radix sensoria < Radices Nervi Trigemini < Nomina Generalia,Q776972,A14.2.01.014,trigeminal ganglion,,,,,exact,ta2:latin tna:latin wd:latin,,our Latin differs from TA2,
structures,globus-pallidus-externus,"Globus pallidus, external segment",,5569,Globus pallidus,Globus pallidus,Corpus Striatum < Cerebrum < Systema Nervosum,2599,Globus pallidus,Globus pallidus,Telencephalon < Pars Centralis < Systema Nervosum,Q1759633,A14.1.09.518,globus pallidus,,,,,broader,ta2:en tna:en wd:en,"ta2:5570 ""Globus pallidus lateralis"" (syn) | tna:2567 ""Globus pallidus lateralis"" (syn) | tna:2588 ""Pallidum dorsale"" (syn) | wd:Q6495612 ""external globus pallidus"" (syn)",,
structures,globus-pallidus-internus,"Globus pallidus, internal segment",,5569,Globus pallidus,Globus pallidus,Corpus Striatum < Cerebrum < Systema Nervosum,2599,Globus pallidus,Globus pallidus,Telencephalon < Pars Centralis < Systema Nervosum,Q1759633,A14.1.09.518,globus pallidus,,,,,broader,ta2:en tna:en wd:en,"ta2:5572 ""Globus pallidus medialis"" (syn) | tna:2569 ""Globus pallidus medialis"" (syn) | tna:2588 ""Pallidum dorsale"" (syn) | wd:Q17132761 ""internal globus pallidus"" (syn)",,
structures,globus-pallidus,Globus pallidus,Globus pallidus,5569,Globus pallidus,Globus pallidus,Corpus Striatum < Cerebrum < Systema Nervosum,2599,Globus pallidus,Globus pallidus,Telencephalon < Pars Centralis < Systema Nervosum,Q1759633,A14.1.09.518,globus pallidus,,,,,exact,ta2:latin tna:latin wd:en,"tna:2501 ""Pallidum"" (latin-syn) | tna:2588 ""Pallidum dorsale"" (latin-syn)",,
structures,gyrus-angular,Angular gyrus,Gyrus angularis,5472,Gyrus angularis,Angular gyrus,Lobulus parietalis inferior < Lobus Parietalis < Cerebrum,2042,Gyrus angularis,Angular gyrus,Lobulus parietalis inferior < Lobus Parietalis < Telencephalon,Q1038781,A14.1.09.124,angular gyrus,Angular girus,,Angular girus,,exact,ta2:latin tna:latin wd:latin,,,
structures,gyrus-cingulate-anterior,"Cingulate gyrus, anterior division",,5513,Gyrus cinguli,Cingulate gyrus,Gyrus fornicatus < Gyrus limbicus < Lobus Limbicus,2155,Gyrus cinguli,Cingulate gyrus,Gyrus Limbicus < Telencephalon < Pars Centralis,Q1892702,A14.1.09.231,cingulate gyrus,singulat korteks,,Singulat korteks,,broader,ta2:en tna:en wd:en,"tna:2156 ""Gyrus cinguli, pars anterior"" (syn)",,
structures,gyrus-cingulate-posterior,"Cingulate gyrus, posterior division",,5513,Gyrus cinguli,Cingulate gyrus,Gyrus fornicatus < Gyrus limbicus < Lobus Limbicus,2155,Gyrus cinguli,Cingulate gyrus,Gyrus Limbicus < Telencephalon < Pars Centralis,Q1892702,A14.1.09.231,cingulate gyrus,singulat korteks,,Singulat korteks,,broader,ta2:en tna:en wd:en,"tna:2158 ""Gyrus cinguli, pars posterior"" (syn) | tna:2159 ""Cortex retrosplenialis"" (syn)",,
structures,gyrus-cingulate,Cingulate gyrus,Gyrus cinguli,5513,Gyrus cinguli,Cingulate gyrus,Gyrus fornicatus < Gyrus limbicus < Lobus Limbicus,2155,Gyrus cinguli,Cingulate gyrus,Gyrus Limbicus < Telencephalon < Pars Centralis,Q1892702,A14.1.09.231,cingulate gyrus,singulat korteks,,Singulat korteks,,exact,ta2:latin tna:latin wd:latin,,,
structures,gyrus-heschl,Heschl's gyrus (primary auditory cortex),Gyrus temporalis transversus anterior,5491,Gyri temporales transversi,Transverse temporal gyri,Gyrus temporalis superior < Lobus Temporalis < Cerebrum,2063,Gyrus temporalis transversus anterior,Anterior transverse temporal gyrus,Gyri temporales transversi < Lobus Temporalis < Telencephalon,Q1558507,A14.1.09.140,Transverse temporal gyrus,Enine şakak kıvrımı,,Enine şakak kıvrımı,Heşl kıvrımı,fuzzy,ta2:fuzzy tna:latin wd:syn,"tna:2062 ""Gyri temporales transversi"" (syn)",TA2/TNA Latin differ; our Latin differs from TA2; fuzzy,
structures,gyrus-inferior-frontal-opercularis,"Inferior frontal gyrus, pars opercularis",,5447,Gyrus frontalis inferior,Inferior frontal gyrus,Lobus Frontalis < Cerebrum < Systema Nervosum,2013,Gyrus frontalis inferior,Inferior frontal gyrus,Lobus Frontalis < Telencephalon < Pars Centralis,Q1558534,"A14.1.09.113, A15.2.07.058",inferior frontal gyrus,inferior frontal girus,,,,broader,ta2:en tna:en wd:en,,,
structures,gyrus-inferior-frontal-triangularis,"Inferior frontal gyrus, pars triangularis",,5447,Gyrus frontalis inferior,Inferior frontal gyrus,Lobus Frontalis < Cerebrum < Systema Nervosum,2013,Gyrus frontalis inferior,Inferior frontal gyrus,Lobus Frontalis < Telencephalon < Pars Centralis,Q1558534,"A14.1.09.113, A15.2.07.058",inferior frontal gyrus,inferior frontal girus,,,,broader,ta2:en tna:en wd:en,,,
structures,gyrus-inferior-temporal-anterior,"Inferior temporal gyrus, anterior division",,5497,Gyrus temporalis inferior,Inferior temporal gyrus,Lobus Temporalis < Cerebrum < Systema Nervosum,2073,Gyrus temporalis inferior,Inferior temporal gyrus,Lobus Temporalis < Telencephalon < Pars Centralis,Q3063959,A14.1.09.148,inferior temporal gyrus,,,,,broader,ta2:en tna:en wd:en,,,
structures,gyrus-inferior-temporal-posterior,"Inferior temporal gyrus, posterior division",,5497,Gyrus temporalis inferior,Inferior temporal gyrus,Lobus Temporalis < Cerebrum < Systema Nervosum,2073,Gyrus temporalis inferior,Inferior temporal gyrus,Lobus Temporalis < Telencephalon < Pars Centralis,Q3063959,A14.1.09.148,inferior temporal gyrus,,,,,broader,ta2:en tna:en wd:en,,,
structures,gyrus-inferior-temporal-temporooccipital,"Inferior temporal gyrus, temporo-occipital part",,5497,Gyrus temporalis inferior,Inferior temporal gyrus,Lobus Temporalis < Cerebrum < Systema Nervosum,2073,Gyrus temporalis inferior,Inferior temporal gyrus,Lobus Temporalis < Telencephalon < Pars Centralis,Q3063959,A14.1.09.148,inferior temporal gyrus,,,,,broader,ta2:en tna:en wd:en,,,
structures,gyrus-lingual,Lingual gyrus,,5487,Gyrus lingualis,Lingual gyrus,Lobus Occipitalis < Cerebrum < Systema Nervosum,2140,Gyrus lingualis,Lingual gyrus,Lobus Occipitalis < Telencephalon < Pars Centralis,Q3064632,A14.1.09.226,lingual gyrus,,,,,exact,ta2:en tna:en wd:en,"ta2:5501 ""Gyrus occipitotemporalis medialis"" (syn)",,
structures,gyrus-middle-frontal,Middle frontal gyrus,,5454,Gyrus frontalis medius,Middle frontal gyrus,Lobus Frontalis < Cerebrum < Systema Nervosum,2019,Gyrus frontalis medius,Middle frontal gyrus,Lobus Frontalis < Telencephalon < Pars Centralis,Q3063753,A14.1.09.118,middle frontal gyrus,,,,,exact,ta2:en tna:en wd:en,,,
structures,gyrus-middle-temporal-anterior,"Middle temporal gyrus, anterior division",,5495,Gyrus temporalis medius,Middle temporal gyrus,Lobus Temporalis < Cerebrum < Systema Nervosum,2071,Gyrus temporalis medius,Middle temporal gyrus,Lobus Temporalis < Telencephalon < Pars Centralis,Q5407200,A14.1.09.146,middle temporal gyrus,,,,,broader,ta2:en tna:en wd:en,,,
structures,gyrus-middle-temporal-posterior,"Middle temporal gyrus, posterior division",,5495,Gyrus temporalis medius,Middle temporal gyrus,Lobus Temporalis < Cerebrum < Systema Nervosum,2071,Gyrus temporalis medius,Middle temporal gyrus,Lobus Temporalis < Telencephalon < Pars Centralis,Q5407200,A14.1.09.146,middle temporal gyrus,,,,,broader,ta2:en tna:en wd:en,,,
structures,gyrus-middle-temporal-temporooccipital,"Middle temporal gyrus, temporo-occipital part",,5495,Gyrus temporalis medius,Middle temporal gyrus,Lobus Temporalis < Cerebrum < Systema Nervosum,2071,Gyrus temporalis medius,Middle temporal gyrus,Lobus Temporalis < Telencephalon < Pars Centralis,Q5407200,A14.1.09.146,middle temporal gyrus,,,,,broader,ta2:en tna:en wd:en,,,
structures,gyrus-occipital-fusiform,Occipital fusiform gyrus,,,,,,,,,,,,,,,,,related,,"related ta2:5421 ""Polus occipitalis"" | related ta2:5437 ""Sulcus parietooccipitalis"" | related ta2:5438 ""Incisura preoccipitalis"" | related ta2:5480 ""Lobus occipitalis""",no single TA concept; related terms in alt,
structures,gyrus-paracingulate,Paracingulate gyrus,,,,,,,,,,,,,,,,,related,,"related ta2:5440 ""Sulcus cinguli"" | related ta2:5478 ""Ramus marginalis sulci cinguli"" | related ta2:5513 ""Gyrus cinguli"" | related ta2:5514 ""Isthmus gyri cinguli""",no single TA concept; related terms in alt,
structures,gyrus-parahippocampal-anterior,"Parahippocampal gyrus, anterior division",,5515,Gyrus parahippocampalis,Parahippocampal gyrus,Gyrus fornicatus < Gyrus limbicus < Lobus Limbicus,2151,Gyrus parahippocampalis,Parahippocampal gyrus,Lobus Temporalis < Telencephalon < Pars Centralis,Q1545429,A14.1.09.234,parahippocampal gyrus,,,,,broader,ta2:en tna:en wd:en,"tna:2162 ""Cortex entorhinalis"" (syn) | tna:2165 ""Cortex perirhinalis"" (syn)",,
structures,gyrus-parahippocampal-posterior,"Parahippocampal gyrus, posterior division",,5515,Gyrus parahippocampalis,Parahippocampal gyrus,Gyrus fornicatus < Gyrus limbicus < Lobus Limbicus,2151,Gyrus parahippocampalis,Parahippocampal gyrus,Lobus Temporalis < Telencephalon < Pars Centralis,Q1545429,A14.1.09.234,parahippocampal gyrus,,,,,broader,ta2:en tna:en wd:en,,,
structures,gyrus-parahippocampal-uncus,Parahippocampal gyrus and uncus,Gyrus parahippocampalis; uncus,5515,Gyrus parahippocampalis,Parahippocampal gyrus,Gyrus fornicatus < Gyrus limbicus < Lobus Limbicus,2151,Gyrus parahippocampalis,Parahippocampal gyrus,Lobus Temporalis < Telencephalon < Pars Centralis,Q1545429,A14.1.09.234,parahippocampal gyrus,,,,,narrower,ta2:latin tna:latin wd:latin,"ta2:5516 ""Uncus"" (latin) | tna:2166 ""Uncus"" (latin) | wd:Q919109 ""uncus"" (latin)",our Latin differs from TA2; ambiguous,
structures,gyrus-postcentral,Postcentral gyrus (primary somatosensory cortex),Gyrus postcentralis,5469,Gyrus postcentralis,Postcentral gyrus,Lobus Parietalis < Cerebrum < Systema Nervosum,2034,Gyrus postcentralis,Postcentral gyrus,Lobus Parietalis < Telencephalon < Pars Centralis,Q956517,A14.1.09.128,postcentral gyrus,,,,,exact,ta2:latin tna:latin wd:latin,"ta2:5477 ""Gyrus paracentralis posterior"" (syn) | tna:2132 ""Gyrus paracentralis posterior"" (syn)",,
structures,gyrus-precentral,Precentral gyrus (primary motor cortex),Gyrus precentralis,5458,Gyrus precentralis,Precentral gyrus,Lobus Frontalis < Cerebrum < Systema Nervosum,2026,Gyrus precentralis,Precentral gyrus,Lobus Frontalis < Telencephalon < Pars Centralis,Q5272263,A14.1.09.119,precentral gyrus,,,,,exact,ta2:latin tna:latin wd:latin,"ta2:5459 ""Gyrus paracentralis anterior"" (syn) | tna:2093 ""Gyrus paracentralis anterior"" (syn)",,
structures,gyrus-superior-frontal,Superior frontal gyrus,,5456,Gyrus frontalis superior,Superior frontal gyrus,Lobus Frontalis < Cerebrum < Systema Nervosum,2031,Gyrus frontalis superior,Superior frontal gyrus,Lobus Frontalis < Telencephalon < Pars Centralis,Q3064113,A14.1.09.121,superior frontal gyrus,,,,,exact,ta2:en tna:en wd:en,,,
structures,gyrus-superior-temporal-anterior,"Superior temporal gyrus, anterior division",,5489,Gyrus temporalis superior,Superior temporal gyrus,Lobus Temporalis < Cerebrum < Systema Nervosum,2057,Gyrus temporalis superior,Superior temporal gyrus,Lobus Temporalis < Telencephalon < Pars Centralis,Q3064601,A14.1.09.138,Superior temporal gyrus,,,,,broader,ta2:en tna:en wd:en,,,
structures,gyrus-superior-temporal-posterior,"Superior temporal gyrus, posterior division",,5489,Gyrus temporalis superior,Superior temporal gyrus,Lobus Temporalis < Cerebrum < Systema Nervosum,2057,Gyrus temporalis superior,Superior temporal gyrus,Lobus Temporalis < Telencephalon < Pars Centralis,Q3064601,A14.1.09.138,Superior temporal gyrus,,,,,broader,ta2:en tna:en wd:en,,,
structures,gyrus-supramarginal-anterior,"Supramarginal gyrus, anterior division",,5473,Gyrus supramarginalis,Supramarginal gyrus,Lobulus parietalis inferior < Lobus Parietalis < Cerebrum,2044,Gyrus supramarginalis,Supramarginal gyrus,Lobulus parietalis inferior < Lobus Parietalis < Telencephalon,Q1528202,A14.1.09.131,supramarginal gyrus,,,,,broader,ta2:en tna:en wd:en,,,
structures,gyrus-supramarginal-posterior,"Supramarginal gyrus, posterior division",,5473,Gyrus supramarginalis,Supramarginal gyrus,Lobulus parietalis inferior < Lobus Parietalis < Cerebrum,2044,Gyrus supramarginalis,Supramarginal gyrus,Lobulus parietalis inferior < Lobus Parietalis < Telencephalon,Q1528202,A14.1.09.131,supramarginal gyrus,,,,,broader,ta2:en tna:en wd:en,,,
structures,gyrus-supramarginal,Supramarginal gyrus,Gyrus supramarginalis,5473,Gyrus supramarginalis,Supramarginal gyrus,Lobulus parietalis inferior < Lobus Parietalis < Cerebrum,2044,Gyrus supramarginalis,Supramarginal gyrus,Lobulus parietalis inferior < Lobus Parietalis < Telencephalon,Q1528202,A14.1.09.131,supramarginal gyrus,,,,,exact,ta2:latin tna:latin wd:latin,,,
structures,habenula,Habenula,,5662,Habenula,Habenula,Diencephalon < Cerebrum < Systema Nervosum,1708,Habenula,Habenula,Epithalamus < Diencephalon < Pars Centralis,Q267641,A14.1.08.003,habenula,,,,,exact,ta2:en tna:en wd:en,"ta2:5675 ""Epithalamus"" (latin-syn) | tna:1707 ""Epithalamus"" (latin-syn) | wd:Q849277 ""epithalamus"" (latin-syn)",,
structures,hippocampus-ca1,Hippocampus CA1,,,,,,,,,,,,,,,,,related,,"related ta2:5520 ""Cornu ammonis"" | related ta2:5518 ""Hippocampus"" | related ta2:5524 ""Fimbria hippocampi"" | related tna:425 ""Rami hippocampales""",no single TA concept; related terms in alt,
